last_name, first_name,woba,est_woba,est_woba_minus_woba_diff
Maile, Luke,0.31,0.291,0.019
Rickard, Joey,0.309,0.266,0.043
Slater, Austin,0.287,0.267,0.02
Murphy, John Ryan,0.265,0.263,0.002
Choi, Ji-Man,0.367,0.353,0.014
Guyer, Brandon,0.298,0.306,-0.008
Reyes, Victor,0.229,0.256,-0.027
Donaldson, Josh,0.345,0.342,0.003
Kratz, Erik,0.278,0.288,-0.01
Asuaje, Carlos,0.255,0.285,-0.03
Mathis, Jeff,0.243,0.245,-0.002
Davis, Rajai,0.251,0.265,-0.014
Wolters, Tony,0.261,0.274,-0.013
McCann, Brian,0.286,0.289,-0.003
Knapp, Andrew,0.273,0.288,-0.015
Severino, Pedro,0.222,0.246,-0.024
Perez, Roberto,0.236,0.261,-0.025
Bote, David,0.314,0.353,-0.039
Prado, Martin,0.263,0.28,-0.017
Marte, Jefry,0.281,0.284,-0.003
Garcia, Greg,0.276,0.292,-0.016
Swihart, Blake,0.271,0.269,0.002
Rodriguez, Ronny,0.257,0.258,-0.001
Fowler, Dustin,0.263,0.306,-0.043
Blanco, Gregor,0.254,0.262,-0.008
McMahon, Ryan,0.296,0.281,0.015
Caratini, Victor,0.268,0.287,-0.019
Sucre, Jesus,0.219,0.237,-0.018
Ramirez, Hanley,0.309,0.322,-0.013
La Stella, Tommy,0.3,0.319,-0.019
Meadows, Austin,0.332,0.312,0.02
Mullins, Cedric,0.298,0.289,0.009
Smith, Kevan,0.322,0.326,-0.004
Utley, Chase,0.272,0.283,-0.011
Gonzalez, Adrian,0.288,0.321,-0.033
Adduci, Jim,0.291,0.262,0.029
Tucker, Preston,0.306,0.29,0.016
Sisco, Chance,0.259,0.272,-0.013
Ellis, A.J.,0.325,0.325,0
Naquin, Tyler,0.282,0.314,-0.032
Butera, Drew,0.252,0.244,0.008
Flaherty, Ryan,0.258,0.276,-0.018
Castillo, Welington,0.309,0.32,-0.011
Goodwin, Brian,0.311,0.307,0.004
LaMarre, Ryan,0.306,0.284,0.022
Martini, Nick,0.357,0.331,0.026
Laureano, Ramon,0.358,0.351,0.007
Rodriguez, Sean,0.265,0.276,-0.011
O'Hearn, Ryan,0.398,0.345,0.053
Gentry, Craig,0.296,0.287,0.009
Holaday, Bryan,0.228,0.232,-0.004
Voit, Luke,0.447,0.438,0.009
Rivera, Yadiel,0.219,0.255,-0.036
Kendrick, Howie,0.342,0.318,0.024
Cespedes, Yoenis,0.345,0.289,0.056
Cabrera, Miguel,0.36,0.375,-0.015
Casali, Curt,0.347,0.31,0.037
Sierra, Magneuris,0.192,0.22,-0.028
Cordero, Franchy,0.322,0.36,-0.038
Cuevas, Noel,0.254,0.256,-0.002
Duggar, Steven,0.298,0.245,0.053
Tomlinson, Kelby,0.239,0.241,-0.002
Almonte, Abraham,0.245,0.32,-0.075
Wilson, Bobby,0.232,0.225,0.007
Smith, Dominic,0.288,0.249,0.039
Lowe, Brandon,0.334,0.338,-0.004
Rua, Ryan,0.248,0.251,-0.003
Ward, Taylor,0.255,0.276,-0.021
Phillips, Brett,0.246,0.228,0.018
Blandino, Alex,0.279,0.279,0
Quinn, Roman,0.316,0.281,0.035
Kieboom, Spencer,0.29,0.271,0.019
Gonzalez, Erik,0.294,0.275,0.019
Ortega, Rafael,0.252,0.291,-0.039
Pena, Francisco,0.215,0.208,0.007
Shuck, JB,0.219,0.25,-0.031
O'Neill, Tyler,0.34,0.323,0.017
Saladino, Tyler,0.302,0.314,-0.012
Crawford, J.P.,0.313,0.298,0.015
Thompson, Trayce,0.162,0.202,-0.04
Tocci, Carlos,0.247,0.21,0.037
Valaika, Pat,0.207,0.239,-0.032
McKinney, Billy,0.335,0.336,-0.001
Williams, Mason,0.315,0.283,0.032
Romine, Andrew,0.228,0.247,-0.019
Young, Chris,0.268,0.262,0.006
Briceno, Jose,0.3,0.308,-0.008
Alvarez, Pedro,0.304,0.324,-0.02
Robinson, Drew,0.266,0.275,-0.009
Dixon, Brandon,0.247,0.26,-0.013
Cowart, Kaleb,0.204,0.214,-0.01
Fernandez, Jose Miguel,0.304,0.321,-0.017
Dean, Austin,0.281,0.319,-0.038
Tilson, Charlie,0.282,0.268,0.014
Diaz, Yandy,0.346,0.354,-0.008
Goins, Ryan,0.246,0.229,0.017
Wynns, Austin,0.291,0.3,-0.009
Lopez, Raffy,0.236,0.253,-0.017
Cuthbert, Cheslor,0.263,0.295,-0.032
Young Jr., Eric,0.241,0.271,-0.03
Greiner, Grayson,0.279,0.32,-0.041
Seager, Corey,0.324,0.376,-0.052
Zimmer, Bradley,0.27,0.288,-0.018
Sogard, Eric,0.194,0.263,-0.069
Davis, J.D.,0.218,0.296,-0.078
Osuna, Jose,0.276,0.285,-0.009
Calhoun, Willie,0.263,0.258,0.005
Urena, Richard,0.311,0.273,0.038
Santander, Anthony,0.242,0.261,-0.019
Rondon, Jose,0.319,0.301,0.018
Arcia, Francisco,0.277,0.231,0.046
Freitas, David,0.262,0.302,-0.04
Williamson, Mac,0.298,0.296,0.002
Refsnyder, Rob,0.276,0.322,-0.046
Luplow, Jordan,0.277,0.292,-0.015
Vogelbach, Daniel,0.31,0.369,-0.059
Torreyes, Ronald,0.287,0.238,0.049
Phegley, Josh,0.259,0.216,0.043
Lugo, Dawel,0.255,0.257,-0.002
d'Arnaud, Chase,0.266,0.249,0.017
