last_name, first_name,woba,xwoba,diff
Crawford, J.P.,0.296,0.294,0.002
Piscotty, Stephen,0.306,0.323,-0.017
Smith Jr, Dwight,0.299,0.292,0.007
d'Arnaud, Travis,0.314,0.334,-0.02
Candelario, Jeimer,0.283,0.302,-0.019
Jansen, Danny,0.275,0.314,-0.039
Winker, Jesse,0.351,0.352,-0.001
Chavis, Michael,0.323,0.298,0.025
Walker, Neil,0.319,0.339,-0.02
Verdugo, Alex,0.341,0.331,0.01
Maldonado, Martin,0.288,0.302,-0.014
Martinez, Jose,0.323,0.343,-0.02
Garcia, Greg,0.319,0.295,0.024
Tatis Jr., Fernando,0.398,0.345,0.053
Kendrick, Howie,0.4,0.419,-0.019
O'Hearn, Ryan,0.279,0.308,-0.029
Pinder, Chad,0.298,0.315,-0.017
Castro, Harold,0.292,0.283,0.009
Aguilar, Jesus,0.307,0.334,-0.027
Alvarez, Yordan,0.432,0.41,0.022
Forsythe, Logan,0.298,0.323,-0.025
Arraez, Luis,0.36,0.336,0.024
Kelly, Carson,0.339,0.337,0.002
Barnhart, Tucker,0.301,0.28,0.021
Almora Jr., Albert,0.271,0.28,-0.009
Granderson, Curtis,0.275,0.305,-0.03
Wilkerson, Stevie,0.286,0.255,0.031
Garver, Mitch,0.405,0.38,0.025
Gomes, Yan,0.298,0.304,-0.006
Bote, David,0.336,0.322,0.014
Gamel, Ben,0.308,0.301,0.007
Hamilton, Billy,0.251,0.261,-0.01
Davis, Chris,0.263,0.292,-0.029
Edman, Tommy,0.357,0.331,0.026
Hiura, Keston,0.388,0.36,0.028
Diaz, Yandy,0.341,0.357,-0.016
Hedges, Austin,0.242,0.266,-0.024
Gregorius, Didi,0.298,0.293,0.005
Gurriel Jr., Lourdes,0.358,0.342,0.016
Pollock, A.J.,0.333,0.334,-0.001
Phegley, Josh,0.291,0.287,0.004
Severino, Pedro,0.316,0.337,-0.021
Calhoun, Willie,0.351,0.33,0.021
Moreland, Mitch,0.347,0.351,-0.004
